,Nama,tempat lahir,tanggal lahir,Remove Gelar Depan,only_character
0, Prof  Dr Mahfud MDS H   S U   M I P 1 ,SampangJawaTimurIndonesia,13/05/1957, Prof  Dr Mahfud MDS H   S U   M I P 1 ,ProfDrMahfudMDSHSUMIP
1, Dr  H C [1] Ir Airlangga HartartoM B A   M M T   IPU  1 ,SurabayaIndonesia,1/10/1962, Dr  H C [1] Ir Airlangga HartartoM B A   M M T   IPU  1 ,DrHCIrAirlanggaHartartoMBAMMTIPU
2, Luhut Binsar Panjaitan 1 ,SimargalaHutaNamoraSilaenTobaSumatraUtaraIndonesia,28/09/1947, Luhut Binsar Panjaitan 1 ,LuhutBinsarPanjaitan
3, Prof  Dr Muhadjir EffendyM A P  1 ,MadiunJawaTimurIndonesia,291956, Prof  Dr Muhadjir EffendyM A P  1 ,ProfDrMuhadjirEffendyMAP
4, Prof  Dr PratiknoM Soc Sc  1 ,BojonegoroIndonesia,13/02/1962, Prof  Dr PratiknoM Soc Sc  1 ,ProfDrPratiknoMSocSc
5, Jenderal Pol  Purn  Prof  H Muhammad Tito KarnavianPh D  1 ,PalembangSumatraSelatan,26/10/1964, Jenderal Pol  Purn  Prof  H Muhammad Tito KarnavianPh D  1 ,JenderalPolPurnProfHMuhammadTitoKarnavianPhD
6, Jenderal Pol  Purn  Prof  H Muhammad Tito KarnavianPh D  1 ,PalembangSumatraSelatan,26/10/1964, Jenderal Pol  Purn  Prof  H Muhammad Tito KarnavianPh D  1 ,JenderalPolPurnProfHMuhammadTitoKarnavianPhD
7, Jenderal Pol  Purn  Prof  H Muhammad Tito KarnavianPh D  1 ,PalembangSumatraSelatan,26/10/1964, Jenderal Pol  Purn  Prof  H Muhammad Tito KarnavianPh D  1 ,JenderalPolPurnProfHMuhammadTitoKarnavianPhD
8, Jenderal Pol  Purn  Prof  H Muhammad Tito KarnavianPh D  1 ,PalembangSumatraSelatan,26/10/1964, Jenderal Pol  Purn  Prof  H Muhammad Tito KarnavianPh D  1 ,JenderalPolPurnProfHMuhammadTitoKarnavianPhD
9, Retno Marsudi 1 ,SemarangIndonesia,27/11/1962, Retno Marsudi 1 ,RetnoMarsudi
10, Letnan Jenderal TNI Purn  H Prabowo Subianto 1 ,JakartaIndonesia,17/10/1951, Letnan Jenderal TNI Purn  H Prabowo Subianto 1 ,LetnanJenderalTNIPurnHPrabowoSubianto
11, Prof Yasonna LaolyS H   M Sc   Ph D  1 ,SorkamTapanuliTengahSumatraUtaraIndonesia,27/05/1953, Prof Yasonna LaolyS H   M Sc   Ph D  1 ,ProfYasonnaLaolySHMScPhD
12, Sri MulyaniS E   M Sc   Ph D 1 ,TanjungkarangLampungIndonesia,26/08/1962, Sri MulyaniS E   M Sc   Ph D 1 ,SriMulyaniSEMScPhD
13, Ir Arifin Tasrif 1 ,Jakarta,19/06/1953, Ir Arifin Tasrif 1 ,IrArifinTasrif
14, Agus Gumiwang Kartasasmita 1 ,Jakarta,3/01/1969, Agus Gumiwang Kartasasmita 1 ,AgusGumiwangKartasasmita
15, Agus Suparmanto 1 ,Jakarta,23/12/1965, Agus Suparmanto 1 ,AgusSuparmanto
16, Muhammad Lutfi 1 ,JakartaIndonesia,16/08/1969, Muhammad Lutfi 1 ,MuhammadLutfi
17, Syahrul Yasin Limpo ᨔᨑᨘᨒᨘ ᨐᨔᨗ ᨒᨗᨇᨚ 1 ,MakassarSulawesiIndonesia,16/03/1955, Syahrul Yasin Limpo ᨔᨑᨘᨒᨘ ᨐᨔᨗ ᨒᨗᨇᨚ 1 ,SyahrulYasinLimpo
18, Dr  Ir Siti Nurbaya Bakar M Sc 1 ,JakartaIndonesia,28/08/1956, Dr  Ir Siti Nurbaya Bakar M Sc 1 ,DrIrSitiNurbayaBakarMSc
19, Ir Budi Karya Sumadi 1 ,PalembangSumatraSelatanIndonesia,18/12/1956, Ir Budi Karya Sumadi 1 ,IrBudiKaryaSumadi
20, Ir Budi Karya Sumadi 1 ,PalembangSumatraSelatanIndonesia,18/12/1956, Ir Budi Karya Sumadi 1 ,IrBudiKaryaSumadi
21, Ir Budi Karya Sumadi 1 ,PalembangSumatraSelatanIndonesia,18/12/1956, Ir Budi Karya Sumadi 1 ,IrBudiKaryaSumadi
